title,author,date,article,link
2024 CSR Conference and Expo in July spotlights innovation and technology in a New and Inclusive Future,," 03:24 PM June 27, 2024","Manila, Philippines: Technologies such as artificial intelligence (AI) have emerged as transformative forces in the modern business landscape, and promise significant benefits for early adopters, but they are not without disruptive impacts—including the possibility of disproportionately affecting more vulnerable members of society.,The League of Corporate Foundations (LCF) is organizing the highly anticipated 2024 CSR EXPO to rally CSR practitioners to collaborate and harness the potential of technology and innovation while overcoming their risks. This year’s conference is on July 3 and 4 at Dusit Thani Manila, while the EXPO is on July 4 and 5 at the Glorietta Activity Center, both in Makati City.,Aptly themed “Reimagining a New and Inclusive Future”, this year’s Expo will bring together leaders, experts, and representatives of different industries to tackle significant topics ranging from how technology can enhance CSR practice and ESG reporting to AI’s role as a catalyst for innovation and as a source of disruption. It will also feature small-group breakout sessions where attendees can gather new insights and tactics about how AI and other revolutionary technologies can be leveraged across such crucial areas as enterprise development, health, environment, education, disaster resilience, arts and culture, and financial inclusion.,This gathering of CSR experts will showcase the application of Corporate Social Responsibility (CSR) and Environmental, Social, and Governance (ESG) reporting can help mitigate the challenges posed by technology. The sector aims to ensure that these technologies are inclusive and contribute to true societal and national development that benefits the 51% of Filipinos living in poverty.,“Corporates should view these innovations as vital opportunities to take part in, if not lead an all-of-nation implementations of CSR and ESG that maximize these innovations’ potential and promise while offsetting and minimizing their potential ill effects,” said Shem Jose W. Garcia, LCF Vice-Chair and Executive Director, Vivant Foundation, Inc. “These approaches must work to ensure that the application of technology is aligned with the fundamental principles of CSR and ESG, and, by doing so, made inclusive and contributes to social sustainability and the common good.”,The 2024 CSR EXPO will connect an estimated 200 delegates with industry leaders in CSR, technology and innovation, and other areas, and serve as a venue for dynamic discussions and collaboration.,The speaker lineup includes Keynote Speaker, Dr. David R. Hardoon, Chief Executive Officer (CEO) of Aboitiz Data Innovation; Forum Speakers Leo de Velez, co-founder of Frontlearners, Inc.; Sherwin Yap, founder of Kaizen Robotics International; and Sherlo Reyes, Director for the Center for Partnership & Development, School of Deaf Education & Applied Studies at the De La Salle-College of Saint Benilde.,For the thematic sessions, speakers include Ted Monroy, country representative, United Nations Industrial Development Organization; Dr. Alvin Marcelo, Philippine Digital Health Strategy Technical Working Group, Department of Health; Dr. Chelsea Elizabeth Samson, head of Strategy & Communications and head of Public Health and Policy, Ayala Healthcare Holdings Inc.; James Elrond B. Lagare, Managing Director, Geodata Systems Technologies, Inc.; Prof. Erika Fille T. Legara, Aboitiz chair in Data Science and Associate Professor, Asian Institute of Management; Hon. Nolasco A. Mempin, Undersecretary for Administration, Department of Education; Ms. Aprille P. Tijam, Associate Director and Head of Exhibitions and Collections, Ayala Museum; Engr. Sergio Ramos III, president of PCI Innovations Tech Center; and Esteban Masagca, Executive Director, People’s Disaster Risk Reduction Network.,For the full list of speakers and sessions, please view the Conference Program at ,In celebration of National CSR Week, LCF will award noteworthy examples of CSR excellence concurrently with the Expo.,LCF will announce the winners of the 2024 Guild Awards on the evening of July 3 at Dusit Thani Manila. The yearly awards program honors exemplary CSR initiatives undertaken by LCF members.,For the first time, the League will also be awarding the CSR Medal of Recognition to non-members to acknowledge the work and effort they provide in their respective communities. The Medal of Recognition celebrates the interventional activities of non-member corporates. This inaugural program will be held on July 5 at the Glorietta.,Meanwhile, the Expo at the Glorietta Activity Center, which will be held from July 4 to 5, will showcase technology-themed CSR initiatives undertaken by LCF members and non-members alike for the general public.,This year’s exhibitors are Pilipinas Shell Foundation, Inc.; Coca-Cola Foundation Philippines, Inc.; BPI Foundation, Inc.; Toyota Motor Philippines Foundation, Inc.; Metrobank Foundation, Inc.; Aboitiz Foundation, Inc.; Metro Pacific Investment Foundation, Inc.; Gokongwei Brothers Foundation, Inc.; Vivant Foundation, Inc.; Manila Water Foundation, Inc.; Power 4 All, Inc.; Lopez Group Foundation, Inc.; Energy Development Corporation; BDO Foundation, Inc.; San Miguel Foundation, Inc.; Ronald McDonald House Charities of the Philippines, Inc.; Ayala Foundation, Inc.; Don Antonio O. Floirendo Sr. Foundation, Inc.; East West Seed Foundation, Inc.; Joy~Nostalg Foundation, Inc.; SM Foundation, Inc.; PCI Innovations Tech,Center, Inc.; Frontlearners, Inc.; Rise Against Hunger Philippines; and Animal Empathy Philippines.,The Expo will also serve as a venue for the launch of LIFE, the League of Corporate Foundations’ Initiative for Food Security, Nutrition and Empowerment. LIFE is a League-wide initiative working to halt stunting, wasting and malnutrition while collaborating with like-minded groups and government agencies.,Established in 1991, LCF is a network of operating and grant-making corporate and family foundations and corporations in the Philippines. The League has continued to be at the forefront of promoting and enhancing CSR practice among its members,
and the larger business community in the country. Visit the LCF homepage at lcf.org.ph and the 2024 Conference and Expo microsite at bit.ly/2024CSRExpo.,The 2024 CSR Conference and Expo is co-organized with Metro Pacific Investments Foundation, Inc., and Pilipinas Shell Foundation, Inc. It is also brought to you by Aboitiz Foundation, Inc.; Coca-Cola Foundation Philippines, Inc.; Manila Water Foundation, Inc.; Metrobank Foundation, Inc.; SM Foundation, Inc., Henry Sy Foundation, Inc., and Felicidad T. Sy Foundation, Inc.; and Vivant Foundation, Inc.,For more information please contact Chris Sanchez, LCF Communications Officer, at ,Subscribe to , to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.,Read Next,Don't miss out on the latest news and information. ,TAGS: ",https://pep.inquirer.net/2331/2024-csr-conference-and-expo-in-july-spotlights-innovation-and-technology-in-a-new-and-inclusive-future
"Caribbean on alert for Hurricane Beryl, first of 2024 season",," , / 07:11 AM June 30, 2024","Much of the southeast Caribbean was on alert Saturday as Beryl strengthened into the first hurricane of the 2024 Atlantic season, with forecasters warning it will swiftly become a major storm.,The US National Hurricane Center (NHC) said Beryl — currently churning in the Atlantic Ocean about 720 miles (1160 kilometers) east of Barbados — would become a “dangerous major hurricane” by the time it reached the Windward Islands late Sunday into Monday.,Barbados was under a hurricane warning, while St Lucia, St Vincent and the Grenadines and Grenada all had hurricane watches in place, the NHC said in its latest advisory.,In the Barbadian capital Bridgetown, cars were seen lining up at gas stations, while super markets and groceries stores were crowded with shoppers buying food, water and supplies.,A major hurricane is considered a Category 3 or higher on the Saffir-Simpson scale, with winds of at least 111 miles per hour.,Such a powerful storm forming this early in the Atlantic hurricane season — which runs from early June to late November — is extremely rare, experts said.,“Only 5 major (Category 3+) hurricanes have been recorded in the Atlantic before the first week of July. Beryl would be the sixth and earliest this far east in the tropical Atlantic,” hurricane expert Michael Lowry posted on X, formerly Twitter.,The NHC said as of Saturday afternoon that Beryl’s maximum sustained winds had increased to near 75 miles per hour (120 km/h) with higher gusts.,“Hurricane conditions are expected in the hurricane warning area beginning Sunday night,” it said, warning of heavy rain, flooding and “life-threatening winds and storm surge.”,“Wind speeds atop and on the windward sides of hills and mountains are often up to 30 percent stronger than the near-surface winds indicated in this advisory, and in some elevated locations could be even greater,” the NHS said.,The Saffir-Simpson wind scale designates Category 1 hurricanes as having wind speeds at least 74 miles per hour, up to Category 5 storms with winds of 157 mph or higher.,The US National Oceanic and Atmospheric Administration (NOAA) said in late May that it expects this year to be an “extraordinary” hurricane season with up to seven storms of Category 3 or higher.,The agency cited warm Atlantic ocean temperatures and conditions related to the La Niña weather phenomenon in the Pacific for the expected increase in storms.,In recent years, extreme weather events including hurricanes have become more frequent and more devastating as a result of climate change.",https://globalnation.inquirer.net/240987/caribbean-on-alert-for-hurricane-beryl-first-of-2024-season
Negros cops to file raps vs 2 suspects in Amorsolo painting theft,Carla P. Gomez @carlagomezINQ," , / 11:48 AM July 17, 2024","BACOLOD CITY — Police investigators are filing theft charges against the two persons who stole the 88-year-old painting by national artist Fernando Amorsolo from the Hofileña Museum in Silay City, Negros Occidental.,Lieutenant Colonel Mark Anthony Darroca, Silay City police chief, said the charges would be filed within the week against the male suspect from Iloilo who had been identified, and an unidentified woman, before the Silay City Prosecutor’s Office.,The two suspects are still at large.,Based on the investigation, the suspects pretended to be tourists, and stole the 1936 “Mango Harvesters” painting by Amorsolo on July 3, by placing it in a tote bag as shown in a close-circuit television (CCTV) footage provided by the Hofileña Museum.,The painting was transported by commercial plane to Metro Manila.,Darroca said the two suspects, who stole the painting, were different from those arrested by the National Bureau of Investigation (NBI) for attempting to sell it on Friday, July 12 in Quezon City.,The NBI recovered the Amorsolo painting in an entrapment operation after they received information that a certain “Atty. Ching” was selling it for P3.5 million.,The NBI on Friday, July 12, proceeded to the target area at Tomas Morato, Quezon City, and arrested Ritz Chona Castro Ching and Donecio Escobia Somaylo, who delivered the painting for sale on instructions of “Atty. Ching,” said NBI Director Jaime Santiago.,The two will face charges of violating the Anti-Fencing Law.,Jeremy Barns, director general of the National Museum, pegged the painting’s market value at P8 million to P12 million.,Negros Occidental Gov. Eugenio Jose Lacson on Friday thanked law enforcers and all those responsible for the recovery of the painting.,“This serves as a reminder for us to remain vigilant in protecting and ensuring the preservation of our cultural treasures,” he said.",https://newsinfo.inquirer.net/1961794/negros-cops-to-file-raps-vs-2-suspects-in-amorsolo-painting-theft
Successful Cultural Exchange: Project: Ligaya Brings Happiness from Taiwan to Bulacan’s Children,," 12:40 PM July 08, 2024","Project: Ligaya has successfully brought smiles to 200 children from five different orphanages in Bulacan. This charitable event, held in Bustos, Bulacan on July 6, 2024, aimed not only to spread love and charity but also to promote Taiwanese culture and provide children with a unique experience.,The event was spearheaded by Ms. Shirleen Hsieh, a delegate for the 2024 International Youth Goodwill Ambassador of the Overseas Community Affairs Council (OCAC). It was co-organized by several esteemed organizations within the Taiwanese community in the Philippines, including the Taiwan Association Philippines (TAP), the Taiwanese Compatriot Association in the Philippines (TCAP), the Taiwan Manufacturers Association of the Northern Philippines, the Taiwan–Philippines Educational Development Foundation, and the Taiwan Association Philippines Youth Chapter (TAPYC). Additionally, the Valenzuela Host Lions Club and Thick and Thin Agri-Product Inc. (Atlas Feeds) also played key roles as co-organizers.,Children from Willing Hearts Orphanage, Inc., Bethany House Sto. Nino Orphanage, Philippine Children’s Mission, Bahay at Yaman ni San Martin De Porres Inc., and Nazareth Home for Children were treated to a day filled with traditional Taiwanese activities. They learned how to make Taiwanese lanterns and enjoyed playing typical Taiwanese night market games. Taiwanese snacks were also served, allowing the children to taste the famous treats that many look forward to when visiting Taiwan. Additionally, traditional Taiwanese toys were introduced, sparking curiosity and excitement among the children.,The event’s goal was to promote Taiwanese culture, creating a lasting impression on the children and encouraging them to consider educational and work opportunities in Taiwan. The initiative aims to help Filipino children build a brighter future through these cross-cultural exchanges.,The children were welcomed to the event by Minister Dustin Yang of the Representative of the Taipei Economic and Cultural Office in the Philippines (TECO). Minister Yang emphasized the importance of strengthening the relationship between Taiwan and the Philippines and expressed hope that the children might have the opportunity to study or work in Taiwan when they grow up.,Bulacan Governor Daniel Ramirez Fernando sent his words of appreciation and support for the event. Also present to celebrate with the children were Manila Economic Cultural Office (MECO) Director Tomas M. Guno and Hermosa Bataan Mayor Antonio Joseph Inton.,The success of Project: Ligaya was made possible by the generous contributions of nearly 80 Taiwanese donors from around the world and the dedicated efforts of 100 volunteers from both the local community and the Taiwanese community living in the Philippines. This event not only provided joy and cultural enrichment to the children but also highlighted the spirit of cooperation and goodwill between the Taiwanese and Filipino communities.,As the event concluded, organizers and participants reflected on the day’s success and the positive impact it had on the children. Shirleen Hsieh, the event’s lead organizer, expressed her heartfelt gratitude to all those who contributed, hoping that Project: Ligaya would inspire similar initiatives in the future.,Subscribe to , to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.,Read Next,Don't miss out on the latest news and information. ,TAGS: ",https://pep.inquirer.net/2335/successful-cultural-exchange-project-ligaya-brings-happiness-from-taiwan-to-bulacans-children
African leaders urge UN to prioritize tree planting drive,," , / 09:10 AM July 06, 2024","BRAZZAVILLE, Congo — Six African leaders called Friday for the United Nations to prioritize a decade of planting trees to combat climate change, according to a declaration released at the end of a summit in the Republic of Congo.,The declaration said the leaders had urged “the adoption of a resolution by the 79th General Assembly of the United Nations to officially endorse” the plan ahead of the annual gathering in New York in September.,Congo’s capital Brazzaville hosted days of talks this week that brought together experts, representatives of indigenous populations, and technical and financial partners.,Six leaders attended the summit, which is part of an “African and global decade of afforestation and reforestation” launched by Congolese President Denis Sassou Nguesso at COP27 in Egypt in 2023.,Sassou Nguesso was joined by his counterparts including, Nana Akufo-Addo of Ghana, Umaro Sissoco Embalo of Guinea-Bissau, Faustin Archange Touadera of the Central African Republic, Brice Oligui Nguema of Gabon, and Sahle-Work Zewde of Ethiopia.,A “Brazzaville Declaration” released at the conclusion of the summit called on the UN to realise the “crucial importance for the planet” of the initiative to plant more trees to combat climate change and its consequences.,Leaders also called on the UN to hold an international conference on reforestation “biennially and on a rotating basis, from one continent to another,” according to the text, which was read out by Congo’s minister for forest economy Rosalie Matondo.,“This conference seems to be the beginning of a process of research and a life-saving response. The situation we already know (climate change) remains worrying,” Sassou Nguesso said.,“The need for action is clear… it’s all about the will to act and putting in the necessary effort,” he added.,“The great challenge today is not only to stop the disappearance of forests, but also to restore those that have disappeared and then create new ones,” said Moussa Faki Mahamat, chairman of the African Union Commission.",https://globalnation.inquirer.net/241674/african-leaders-urge-un-to-prioritize-tree-planting-drive
First fatal human case of H5N2 bird flu identified: WHO,," , / 06:22 AM June 06, 2024","GENEVA, Switzerland – The World Health Organization said Wednesday a person in Mexico had died in the first confirmed human case globally of infection with the H5N2 variant of ,The patient, who died on April 24 after developing fever, shortness of breath, diarrhea and nausea, had “no history of exposure to poultry or other animals” and “multiple underlying medical conditions”, the WHO said.,Mexican health authorities reported the confirmed case of human , to the UN health body on May 23, after a 59-year-old was taken to hospital in Mexico City.,The WHO said the case was the “first laboratory-confirmed human case of infection with an influenza A(H5N2) virus reported globally”.,The source of exposure to the virus was unknown, the WHO said, although cases of H5N2 have been reported in poultry in the country.,According to the UN health body, H5N2 cases affected poultry in the state of Michoacan in March, with other outbreaks identified in the State of Mexico.,But it said establishing a link between the human case and the poultry infections was so far impossible, estimating the risk to people as “low”.,A different variant of bird flu, H5N1, has been spreading for weeks among dairy cow herds in the United States, with a small number of cases reported among humans.,But none of the cases are human-to-human infections, with the disease instead jumping from cattle to people, authorities have said.",https://newsinfo.inquirer.net/1948864/first-fatal-human-case-of-h5n2-bird-flu-identified-who
Deadpool and Wolverine movie screening for animal rescues,," , / 02:43 PM July 12, 2024","BIYAYA Animal Care is hosting a block screening of Deadpool and Wolverine, an American superhero film based on Marvel Comics characters Deadpool and Wolverine, on July 27, 2024, at the Ayala Malls Cinema 1 Trinoma.,Proceeds from the fundraiser will go towards the organization’s efforts in saving and rescuing animals involved in various forms of cruelty and neglect. Today, there are over 800 rescue dogs and cats taking shelter at the BIYAYA Sanctuary in Alfonso, Cavite.,“It is our entire team’s primary goal to remind our community of our collective social and moral responsibilities to ensure that these animals are looked after and cared for,” according to BIYAYA Animal Care President/CEO and Founder Rina Ortiz.,“While some people may see stray dogs and cats as nuisances, we ought to understand they are only on the streets due to inadequate human care and are in dire need of our assistance,” she stressed.,BIYAYA Animal Care operates respectful and compassionate programs on animal welfare, animal control, and other related concerns. It campaigns actively against pet neglect and animal cruelty that includes illegal dog meat trade or “dog katay” in the country.,Tickets are priced at Php800 each and come with free snacks and giveaways, plus the chance to win raffle prizes. For more information, please contact 0917-676-7765.,Subscribe to , to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.,Read Next,Don't miss out on the latest news and information. ,TAGS: ",https://pep.inquirer.net/2344/daadpool-and-wolverine-movie-screening-for-animal-rescues
How microfragmentation can help restore coral reefs,," , / 10:02 AM July 06, 2024","Record-high sea temperatures are bleaching , worldwide and putting a new focus on attempts to restore these key marine ecosystems.,Here is an overview of how coral restoration is being done around the world:,Restoration begins with obtaining coral, sometimes by breaking it off from a healthy reef. These pieces can be broken into smaller bits in a process called microfragmentation.,Each piece can become a new coral.,Another option involves collecting “fragments of opportunity” — coral pieces broken off by natural causes such as storms.,Conservationists can also propagate from egg bundles collected during reef spawning, though this is perhaps the most difficult approach.,Spawning is brief, generally happening just once a year, and is affected by many factors, including the lunar phase and water temperature.,Coral microfragments generally go into a “nursery” until they grow sturdy enough to be transplanted to an existing reef or an artificial structure.,Fragments of opportunity are treated similarly. If big enough, they can be transplanted directly to natural or artificial reefs.,Bundles of coral eggs and sperm collected during spawning will develop into larvae that can then be settled onto reefs or, more commonly, grown on artificial foundations before being transplanted to their final homes.,Other techniques are used to bolster coral restoration, including mineral accretion technology.,This involves sending a low-voltage electrical current through seawater to encourage minerals to dissolve and crystallize on artificial reef structures, speeding up coral growth.,The technique has had mixed results, with some studies reporting better growth and more resilient corals, but others finding no significant benefits.,Other interventions include substrate stabilization, which shores up reef foundations, and algae removal.,Restoration projects heavily favor quick-growing branching corals.,The delicate branches of these corals are more susceptible to becoming fragments of opportunity, and are also easier to microfragment than massive or encrusting corals.,Their fast-growing nature gives restoration projects quicker results, though focusing on only one type of coral can reduce ecosystem diversity.,Coral restoration projects report survival rates of around 60-70 percent, according to a study published in 2020.,But around half the projects in the study failed to properly measure whether they achieved the goals stated at the outset, including reef function.,Monitoring was also often brief, at a median of just one year, far less than the time needed for a reef to form, according to the authors.,Still, the projects can produce real benefits.,A 2024 study of artificial reefs in Indonesia found that within four years the structures had a coral carbonate budget — a measure of reef wellbeing — that was nearly equal to nearby healthy natural reef.,Some experts worry that coral restoration is too often presented as panacea for reviving reefs, and point out that transplants will only survive if the surrounding conditions are right.,That means first addressing climate change, which causes the warm temperatures that lead to coral bleaching.,“Well-designed and managed restoration projects have an important role to play, but there is only so much they can do if radical action on the climate is not taken almost immediately,” warned Lisa Bostrom-Einarsson, the marine ecologist who led the 2020 study.,And other stressors, from blast fishing to sedimentation, must also be tackled for reefs to have a future.,Reef restoration also rarely offers a one-for-one replacement of destroyed ecosystems.,The Indonesia reefs examined in the 2024 study are still largely made up of transplanted corals, with little sign yet that “natural recruits” are taking root and building reef diversity.,Building reefs through microfragmentation also limits genetic diversity and can put reefs at risk if disease takes hold.,Still, well-done restoration offers considerable benefits, including coastal protection and boosting marine life.,That also helps local communities dependent on fishing or tourism.,“Restoration will not save corals at the current rate we’re losing them,” said Gavin Miller, a marine scientist with the Global Reef organization in Thailand.,“It’s more about these localized impacts and the scale and the awareness that you can raise from there.”",https://globalnation.inquirer.net/241677/how-restoration-can-help-coral-reefs
Hajj pilgrims ‘stone the devil’ as Muslims mark Eid al-Adha,," , / 10:57 PM June 17, 2024","MINA, SAUDI ARABIA — Pilgrims on Sunday performed the last major ritual of the hajj, the “stoning of the devil,” in western Saudi Arabia as Muslims around the globe celebrated the Eid al-Adha holiday.,As one of the world’s largest annual religious gatherings wound down, authorities from multiple countries said at least 22 people had died, many of them from “extreme heat,” highlighting the acute physical toll of the annual rites which in recent years have fallen during the oven-like Saudi summer.,Beginning at dawn, the 1.8 million Muslims undertaking the pilgrimage this year threw seven stones at each of three concrete walls symbolizing the devil in the Mina valley, located outside Islam’s holiest city of Mecca.,The ritual commemorates Abraham’s stoning of the devil at the three spots where it is said Satan tried to dissuade him from obeying God’s order to sacrifice his son.,Multiple stampedes have occurred in Mina over the years, most recently in 2015 when up to 2,300 worshippers were killed in the worst hajj disaster.,The site has been revamped since then to streamline the movement of the large crowds.,Roads leading to the concrete walls were nevertheless packed on Sunday, with some pilgrims struggling under the morning sun.,Temperatures soared well above 40 degrees Celsius (104 degrees Fahrenheit) each day and on Saturday hit 46 degrees Celsius (114.8 degrees Fahrenheit) on Mount Arafat, where pilgrims performed hours of outdoor prayers.,Jordan’s foreign ministry said on Sunday that 14 Jordanian pilgrims had died “after suffering sun stroke due to the extreme heat wave,” and that 17 others were “missing.”,Iran reported the deaths of five pilgrims but did not specify the cause, while Senegal’s foreign ministry said that three others had died.,Saudi Arabia has not provided any information on fatalities.,During last year’s hajj at least 240 people—many from Indonesia—died, according to figures announced by various countries which also did not specify causes of death.,There were also more than 10,000 cases of heat-related illnesses, 10 percent of which were heatstroke, a health ministry spokesperson told Agence France-Presse (AFP).,Worshippers did their best to take the taxing conditions in stride, seizing what for many was a once-in-a-lifetime chance to pray at Islam’s holiest shrines.,One treatment center near Mount Arafat recorded 225 cases of heat stress and fatigue so far, the official Saudi Press Agency reported.,One of the five pillars of Islam, the hajj must be performed at least once by all Muslims with the means.,This year’s figure of 1.8 million pilgrims is similar to last year’s, and Saudi authorities said on Saturday that 1.6 million of them came from abroad.,These included 17,500 Syrians, according to Badreddine Mansour, director of a Saudi agency specializing in pilgrimages.,For Syrians living in government-controlled areas, hajj has long been out of reach but the reintegration of President Bashar Assad’s government into the Arab fold last year has enabled direct flights to the pilgrimage.,Sunday’s stoning ritual coincided with the Muslim holiday of Eid al-Adha, or the Feast of Sacrifice, which honors Abraham’s willingness to sacrifice his son before God offered a sheep instead. —Agence France-Presse",https://newsinfo.inquirer.net/1952400/hajj-pilgrims-stone-the-devil-as-muslims-mark-eid-al-adha
Famous oceanographer visits PH to urge Verde Island Passage protection,Luisa Cabato," , / 08:44 PM July 06, 2024","MANILA, Philippines — Renowned oceanographer and conservationist Dr. Sylvia Earle visited the Philippines last month to advocate the protection of the Verde Island Passage (VIP)—the world’s “center of the center” of marine shore fish biodiversity.,In a statement on Saturday, the Department of Environment and Natural Resources (DENR) said that Earle personally dived into the VIP alongside other marine experts to observe the condition of the celebrated marine biodiversity hotspot.,Earle is an American ,, , diver, and ,She earned the title “Her Deepness” for holding the record for the deepest walk on the sea floor for logging over 7,000 hours underwater, according to the National Geographic Society.,Moreover, Earle was the first woman to lead the National Oceanographic and Atmospheric Administration.,Some of Earle’s most notable awards include Time magazine’s first Hero for the Planet in 1998, the United Nations Champion of the Earth in 2014, and the 2009 TED Prize.,During her visit, Earle also engaged in discussions with conservation partners to give emphasis on the crucial link between biodiversity conservation and climate action.,She also highlighted the ocean’s pivotal role in achieving global climate goals.,Present in the meeting were United States Ambassador to the Philippines MaryKay Carlson, Senator Loren Legarda, representatives from the University of the Philippines Marine Science Institute and De Lasalle University, non-government organizations, Conservation International Philippines, and Communities Organized for Resource Allocation.,Moreover, Earle described the VIP as a unique global treasure with high historical significance and exceptional biodiversity.,“Whether it’s industry, education, science, government, or whatever the powers that are represented, we need to come together to take care of nature take care of the ocean, as if our lives depend on it, because they do,” she said.,The VIP is a strait located in the southern part of Luzon Island and bordered by Batangas, Marinduque, Romblon, and Oriental and Occidental Mindoro provinces.,It is known to house more than 60 percent of shore fish species, 338 coral species (eight of which are considered rare), and thousands of other marine organisms.,The VIP is also known for its mangrove forests and seagrass beds, which are part of the blue carbon ecosystems that contribute about ten percent of the country’s national carbon stock.,oceanographer,scuba,research scientist.",https://globalnation.inquirer.net/241753/renowned-oceanographer-and-conservationist-on-vip-2
